count,pages_per_second,percentage_complete,memory in use
150000,111.70932093270505,17.048363525012782,21.0
160000,113.66258974706159,17.17106915284278,21.1
170000,115.95454672162856,17.299643053536563,21.1
180000,117.60511383697434,17.42370062327902,21.2
190000,118.91303703422967,17.541184375472124,21.1
200000,120.4184090287629,17.66555458178184,20.8
210000,121.91035053221758,17.79290328511745,20.7
220000,122.68008205653382,17.920497027924696,20.7
230000,123.7712312626466,18.03987349879525,20.7
240000,125.12867702228625,18.161518697187656,20.7
250000,126.3775056488124,18.28338358614084,20.8
10000,19.591589983926298,18.407044022946508,22.4
20000,34.4011792971868,18.535677071098963,22.5
30000,46.47106534332077,18.663591900110422,22.4
40000,56.34642555706268,18.784954035664903,22.7
50000,64.89917767090594,18.906616133331216,22.7
60000,72.49188110818457,19.034053557854833,22.8
70000,78.55531619792038,19.1622176511564,23.2
80000,84.01114032767002,19.29187310538015,23.5
90000,89.63851222301186,19.408482320148632,24.0
100000,93.87407953901165,19.53216388104669,23.8
110000,97.61727198293848,19.66235166239847,23.7
120000,101.31886157802818,19.790008777482868,23.8
130000,104.31863604162122,19.91896291183953,23.8
140000,107.3371184489306,20.06115340248291,23.7
150000,109.93254896476934,20.185937641003314,23.8
160000,112.52640084494871,20.339657661268927,24.0
170000,114.61696805925216,20.489300731704763,24.1
180000,117.28164242269966,20.61508202738561,23.8
190000,119.8484915602327,20.747428690978865,23.7
200000,122.15863419568224,20.87205661121564,23.9
210000,124.1645666795048,20.99635499561126,24.0
220000,126.25845781108181,21.121261753867486,23.9
230000,128.1280179895774,21.25839091197608,24.0
240000,129.98175657313791,21.39354285503769,23.9
250000,131.87312400284475,21.512179982674866,24.1
10000,18.06527250187876,21.64247338448856,22.3
20000,32.53475369927682,21.777980212302197,22.3
30000,44.6988306644441,21.91339831892783,22.2
40000,54.56493773268317,22.04461695598787,22.3
50000,62.797301738329104,22.18159402063131,22.5
60000,70.82861187600349,22.31676286296683,22.3
70000,78.28550232825988,22.438517906639625,22.5
80000,83.96472156813252,22.561354503842388,22.4
90000,89.84162264852732,22.69776121799151,22.5
100000,94.90250315477438,22.82774198323795,22.9
110000,99.72518988555235,22.943282318931885,23.0
120000,104.1616045924051,23.074623475727744,24.0
130000,108.01696997102512,23.21081472413456,23.3
140000,111.33886230611824,23.324669357256397,23.0
150000,114.949323169011,23.445025986013484,22.8
160000,118.20114265606773,23.5664895172114,22.9
170000,120.92577598242745,23.684129587688137,22.8
180000,122.8775563685958,23.80349338410326,22.9
190000,125.12587391809967,23.93285310103366,23.0
200000,127.39580003094558,24.058609047803653,23.0
210000,129.178846367763,24.179164243029135,22.9
220000,131.07244061937212,24.30315421567597,23.0
230000,132.6136687463001,24.430912726403797,23.0
240000,134.01308690718912,24.53622055174777,23.0
250000,135.85303959693883,24.635571383039956,23.0
10000,16.69948897004623,24.7548422334486,22.3
20000,29.91166407544397,24.874573589071172,22.3
30000,41.195896918509675,25.00635412698858,22.3
40000,50.8668569061005,25.130449720097324,22.3
50000,59.60622609035048,25.255124113337345,22.2
60000,67.15225110525364,25.37251491952397,22.2
70000,73.98919911085834,25.506665580606665,22.2
80000,79.80455133785914,25.63526060539283,22.1
90000,85.24130308288969,25.759166081670138,22.5
100000,90.61169692320115,25.8838869479134,22.2
110000,95.03506926619144,26.017006753287834,22.2
120000,99.14245855763706,26.146759378336547,22.2
